data_version,target,location,date,quantil,type,value
2021-03-14,7 day R,DE,28.03.2020,0.025,quantil,"0,90"
2021-03-14,7 day R,DE,29.03.2020,0.025,quantil,"0,90"
2021-03-14,7 day R,DE,30.03.2020,0.025,quantil,"0,92"
2021-03-14,7 day R,DE,31.03.2020,0.025,quantil,"0,92"
2021-03-14,7 day R,DE,01.04.2020,0.025,quantil,"0,93"
2021-03-14,7 day R,DE,02.04.2020,0.025,quantil,"0,94"
2021-03-14,7 day R,DE,03.04.2020,0.025,quantil,"0,92"
2021-03-14,7 day R,DE,04.04.2020,0.025,quantil,"0,92"
2021-03-14,7 day R,DE,05.04.2020,0.025,quantil,"0,89"
2021-03-14,7 day R,DE,06.04.2020,0.025,quantil,"0,88"
2021-03-14,7 day R,DE,07.04.2020,0.025,quantil,"0,87"
2021-03-14,7 day R,DE,08.04.2020,0.025,quantil,"0,84"
2021-03-14,7 day R,DE,09.04.2020,0.025,quantil,"0,82"
2021-03-14,7 day R,DE,10.04.2020,0.025,quantil,"0,80"
2021-03-14,7 day R,DE,11.04.2020,0.025,quantil,"0,81"
2021-03-14,7 day R,DE,12.04.2020,0.025,quantil,"0,78"
2021-03-14,7 day R,DE,13.04.2020,0.025,quantil,"0,78"
2021-03-14,7 day R,DE,14.04.2020,0.025,quantil,"0,77"
2021-03-14,7 day R,DE,15.04.2020,0.025,quantil,"0,75"
2021-03-14,7 day R,DE,16.04.2020,0.025,quantil,"0,78"
2021-03-14,7 day R,DE,17.04.2020,0.025,quantil,"0,79"
2021-03-14,7 day R,DE,18.04.2020,0.025,quantil,"0,80"
2021-03-14,7 day R,DE,19.04.2020,0.025,quantil,"0,83"
2021-03-14,7 day R,DE,20.04.2020,0.025,quantil,"0,83"
2021-03-14,7 day R,DE,21.04.2020,0.025,quantil,"0,82"
